"","treatment","jar_id","day","site","jar_count","replicate","count","is_decreasing","is_all_decreasing"
"18250","14C",43,10,"PW",396,335,25,TRUE,TRUE
"18251","14C",43,12,"PW",229,335,14,TRUE,TRUE
"18252","14C",43,14,"PW",116,335,10,TRUE,TRUE
"18253","14C",43,1,"PW",641,353,39,TRUE,TRUE
"18254","14C",43,4,"PW",505,353,27,TRUE,TRUE
"18255","14C",43,7,"PW",442,353,28,TRUE,TRUE
"18256","14C",43,10,"PW",422,353,25,TRUE,TRUE
"18257","14C",43,12,"PW",299,353,14,TRUE,TRUE
"18258","14C",43,14,"PW",114,353,10,TRUE,TRUE
"18259","14C",43,1,"PW",739,354,39,TRUE,TRUE
"18260","14C",43,4,"PW",519,354,27,TRUE,TRUE
"18261","14C",43,7,"PW",511,354,28,TRUE,TRUE
"18262","14C",43,10,"PW",398,354,25,TRUE,TRUE
"18263","14C",43,12,"PW",297,354,14,TRUE,TRUE
"18264","14C",43,14,"PW",157,354,10,TRUE,TRUE
"18265","14C",43,1,"PW",626,366,39,TRUE,TRUE
"18266","14C",43,4,"PW",434,366,27,TRUE,TRUE
"18267","14C",43,7,"PW",411,366,28,TRUE,TRUE
"18268","14C",43,10,"PW",388,366,25,TRUE,TRUE
"18269","14C",43,12,"PW",259,366,14,TRUE,TRUE
"18270","14C",43,14,"PW",202,366,10,TRUE,TRUE
"18271","14C",43,1,"PW",631,367,39,TRUE,TRUE
"18272","14C",43,4,"PW",430,367,27,TRUE,TRUE
"18273","14C",43,7,"PW",423,367,28,TRUE,TRUE
"18274","14C",43,10,"PW",316,367,25,TRUE,TRUE
"18275","14C",43,12,"PW",252,367,14,TRUE,TRUE
"18276","14C",43,14,"PW",247,367,10,TRUE,TRUE
"18277","14C",43,1,"PW",694,371,39,TRUE,TRUE
"18278","14C",43,4,"PW",512,371,27,TRUE,TRUE
"18279","14C",43,7,"PW",452,371,28,TRUE,TRUE
"18280","14C",43,10,"PW",351,371,25,TRUE,TRUE
"18281","14C",43,12,"PW",243,371,14,TRUE,TRUE
"18282","14C",43,14,"PW",199,371,10,TRUE,TRUE
"18283","14C",43,1,"PW",681,379,39,TRUE,TRUE
"18284","14C",43,4,"PW",479,379,27,TRUE,TRUE
"18285","14C",43,7,"PW",470,379,28,TRUE,TRUE
"18286","14C",43,10,"PW",381,379,25,TRUE,TRUE
"18287","14C",43,12,"PW",221,379,14,TRUE,TRUE
"18288","14C",43,14,"PW",193,379,10,TRUE,TRUE
"18289","14C",43,1,"PW",826,383,39,TRUE,TRUE
"18290","14C",43,4,"PW",521,383,27,TRUE,TRUE
"18291","14C",43,7,"PW",518,383,28,TRUE,TRUE
"18292","14C",43,10,"PW",412,383,25,TRUE,TRUE
"18293","14C",43,12,"PW",191,383,14,TRUE,TRUE
"18294","14C",43,14,"PW",191,383,10,TRUE,TRUE
"18295","14C",43,1,"PW",740,399,39,TRUE,TRUE
"18296","14C",43,4,"PW",604,399,27,TRUE,TRUE
"18297","14C",43,7,"PW",493,399,28,TRUE,TRUE
"18298","14C",43,10,"PW",486,399,25,TRUE,TRUE
"18299","14C",43,12,"PW",296,399,14,TRUE,TRUE
"18300","14C",43,14,"PW",231,399,10,TRUE,TRUE
"18301","14C",43,1,"PW",697,400,39,TRUE,TRUE
"18302","14C",43,4,"PW",622,400,27,TRUE,TRUE
"18303","14C",43,7,"PW",441,400,28,TRUE,TRUE
"18304","14C",43,10,"PW",359,400,25,TRUE,TRUE
"18305","14C",43,12,"PW",170,400,14,TRUE,TRUE
"18306","14C",43,14,"PW",129,400,10,TRUE,TRUE
"18307","14C",43,1,"PW",622,403,39,TRUE,TRUE
"18308","14C",43,4,"PW",472,403,27,TRUE,TRUE
"18309","14C",43,7,"PW",402,403,28,TRUE,TRUE
"18310","14C",43,10,"PW",388,403,25,TRUE,TRUE
"18311","14C",43,12,"PW",343,403,14,TRUE,TRUE
"18312","14C",43,14,"PW",246,403,10,TRUE,TRUE
"18313","14C",43,1,"PW",659,404,39,TRUE,TRUE
"18314","14C",43,4,"PW",534,404,27,TRUE,TRUE
"18315","14C",43,7,"PW",474,404,28,TRUE,TRUE
"18316","14C",43,10,"PW",444,404,25,TRUE,TRUE
"18317","14C",43,12,"PW",294,404,14,TRUE,TRUE
"18318","14C",43,14,"PW",131,404,10,TRUE,TRUE
"18319","14C",43,1,"PW",610,405,39,TRUE,TRUE
"18320","14C",43,4,"PW",465,405,27,TRUE,TRUE
"18321","14C",43,7,"PW",444,405,28,TRUE,TRUE
"18322","14C",43,10,"PW",379,405,25,TRUE,TRUE
"18323","14C",43,12,"PW",215,405,14,TRUE,TRUE
"18324","14C",43,14,"PW",212,405,10,TRUE,TRUE
"18325","14C",43,1,"PW",680,410,39,TRUE,TRUE
"18326","14C",43,4,"PW",475,410,27,TRUE,TRUE
"18327","14C",43,7,"PW",418,410,28,TRUE,TRUE
"18328","14C",43,10,"PW",316,410,25,TRUE,TRUE
"18329","14C",43,12,"PW",269,410,14,TRUE,TRUE
"18330","14C",43,14,"PW",156,410,10,TRUE,TRUE
"18331","14C",43,1,"PW",744,418,39,TRUE,TRUE
"18332","14C",43,4,"PW",673,418,27,TRUE,TRUE
"18333","14C",43,7,"PW",545,418,28,TRUE,TRUE
"18334","14C",43,10,"PW",361,418,25,TRUE,TRUE
"18335","14C",43,12,"PW",257,418,14,TRUE,TRUE
"18336","14C",43,14,"PW",178,418,10,TRUE,TRUE
"18337","14C",43,1,"PW",688,419,39,TRUE,TRUE
"18338","14C",43,4,"PW",581,419,27,TRUE,TRUE
"18339","14C",43,7,"PW",530,419,28,TRUE,TRUE
"18340","14C",43,10,"PW",339,419,25,TRUE,TRUE
"18341","14C",43,12,"PW",170,419,14,TRUE,TRUE
"18342","14C",43,14,"PW",165,419,10,TRUE,TRUE
"18343","14C",43,1,"PW",713,420,39,TRUE,TRUE
"18344","14C",43,4,"PW",499,420,27,TRUE,TRUE
"18345","14C",43,7,"PW",487,420,28,TRUE,TRUE
"18346","14C",43,10,"PW",391,420,25,TRUE,TRUE
"18347","14C",43,12,"PW",187,420,14,TRUE,TRUE
"18348","14C",43,14,"PW",161,420,10,TRUE,TRUE
"18349","14C",43,1,"PW",580,422,39,TRUE,TRUE
"18350","14C",43,4,"PW",479,422,27,TRUE,TRUE
"18351","14C",43,7,"PW",422,422,28,TRUE,TRUE
"18352","14C",43,10,"PW",395,422,25,TRUE,TRUE
"18353","14C",43,12,"PW",212,422,14,TRUE,TRUE
"18354","14C",43,14,"PW",115,422,10,TRUE,TRUE
"18355","14C",43,1,"PW",754,430,39,TRUE,TRUE
"18356","14C",43,4,"PW",473,430,27,TRUE,TRUE
"18357","14C",43,7,"PW",424,430,28,TRUE,TRUE
"18358","14C",43,10,"PW",399,430,25,TRUE,TRUE
"18359","14C",43,12,"PW",230,430,14,TRUE,TRUE
"18360","14C",43,14,"PW",179,430,10,TRUE,TRUE
"18361","14C",43,1,"PW",696,432,39,TRUE,TRUE
"18362","14C",43,4,"PW",557,432,27,TRUE,TRUE
"18363","14C",43,7,"PW",530,432,28,TRUE,TRUE
"18364","14C",43,10,"PW",508,432,25,TRUE,TRUE
"18365","14C",43,12,"PW",266,432,14,TRUE,TRUE
"18366","14C",43,14,"PW",123,432,10,TRUE,TRUE
"18367","14C",43,1,"PW",825,434,39,TRUE,TRUE
"18368","14C",43,4,"PW",466,434,27,TRUE,TRUE
"18369","14C",43,7,"PW",463,434,28,TRUE,TRUE
"18370","14C",43,10,"PW",374,434,25,TRUE,TRUE
"18371","14C",43,12,"PW",282,434,14,TRUE,TRUE
"18372","14C",43,14,"PW",151,434,10,TRUE,TRUE
"18373","14C",43,1,"PW",701,442,39,TRUE,TRUE
"18374","14C",43,4,"PW",524,442,27,TRUE,TRUE
"18375","14C",43,7,"PW",439,442,28,TRUE,TRUE
"18376","14C",43,10,"PW",375,442,25,TRUE,TRUE
"18377","14C",43,12,"PW",289,442,14,TRUE,TRUE
"18378","14C",43,14,"PW",123,442,10,TRUE,TRUE
"18379","14C",43,1,"PW",795,445,39,TRUE,TRUE
"18380","14C",43,4,"PW",744,445,27,TRUE,TRUE
"18381","14C",43,7,"PW",534,445,28,TRUE,TRUE
"18382","14C",43,10,"PW",456,445,25,TRUE,TRUE
"18383","14C",43,12,"PW",271,445,14,TRUE,TRUE
"18384","14C",43,14,"PW",195,445,10,TRUE,TRUE
"18385","14C",43,1,"PW",688,447,39,TRUE,TRUE
"18386","14C",43,4,"PW",550,447,27,TRUE,TRUE
"18387","14C",43,7,"PW",416,447,28,TRUE,TRUE
"18388","14C",43,10,"PW",347,447,25,TRUE,TRUE
"18389","14C",43,12,"PW",334,447,14,TRUE,TRUE
"18390","14C",43,14,"PW",223,447,10,TRUE,TRUE
"18391","14C",43,1,"PW",682,450,39,TRUE,TRUE
"18392","14C",43,4,"PW",493,450,27,TRUE,TRUE
"18393","14C",43,7,"PW",387,450,28,TRUE,TRUE
"18394","14C",43,10,"PW",346,450,25,TRUE,TRUE
"18395","14C",43,12,"PW",298,450,14,TRUE,TRUE
"18396","14C",43,14,"PW",206,450,10,TRUE,TRUE
"18397","14C",43,1,"PW",561,458,39,TRUE,TRUE
"18398","14C",43,4,"PW",497,458,27,TRUE,TRUE
"18399","14C",43,7,"PW",483,458,28,TRUE,TRUE
"18400","14C",43,10,"PW",463,458,25,TRUE,TRUE
"18401","14C",43,12,"PW",270,458,14,TRUE,TRUE
"18402","14C",43,14,"PW",219,458,10,TRUE,TRUE
"18403","14C",43,1,"PW",775,461,39,TRUE,TRUE
"18404","14C",43,4,"PW",536,461,27,TRUE,TRUE
"18405","14C",43,7,"PW",499,461,28,TRUE,TRUE
"18406","14C",43,10,"PW",354,461,25,TRUE,TRUE
"18407","14C",43,12,"PW",233,461,14,TRUE,TRUE
"18408","14C",43,14,"PW",213,461,10,TRUE,TRUE
"18409","14C",43,1,"PW",834,463,39,TRUE,TRUE
"18410","14C",43,4,"PW",528,463,27,TRUE,TRUE
"18411","14C",43,7,"PW",512,463,28,TRUE,TRUE
"18412","14C",43,10,"PW",467,463,25,TRUE,TRUE
"18413","14C",43,12,"PW",422,463,14,TRUE,TRUE
"18414","14C",43,14,"PW",150,463,10,TRUE,TRUE
"18415","14C",43,1,"PW",791,465,39,TRUE,TRUE
"18416","14C",43,4,"PW",773,465,27,TRUE,TRUE
"18417","14C",43,7,"PW",526,465,28,TRUE,TRUE
"18418","14C",43,10,"PW",437,465,25,TRUE,TRUE
"18419","14C",43,12,"PW",274,465,14,TRUE,TRUE
"18420","14C",43,14,"PW",200,465,10,TRUE,TRUE
"18421","14C",43,1,"PW",649,473,39,TRUE,TRUE
"18422","14C",43,4,"PW",473,473,27,TRUE,TRUE
"18423","14C",43,7,"PW",459,473,28,TRUE,TRUE
"18424","14C",43,10,"PW",398,473,25,TRUE,TRUE
"18425","14C",43,12,"PW",340,473,14,TRUE,TRUE
"18426","14C",43,14,"PW",275,473,10,TRUE,TRUE
"18427","14C",43,1,"PW",693,478,39,TRUE,TRUE
"18428","14C",43,4,"PW",586,478,27,TRUE,TRUE
"18429","14C",43,7,"PW",438,478,28,TRUE,TRUE
"18430","14C",43,10,"PW",359,478,25,TRUE,TRUE
"18431","14C",43,12,"PW",245,478,14,TRUE,TRUE
"18432","14C",43,14,"PW",118,478,10,TRUE,TRUE
"18433","14C",43,1,"PW",597,479,39,TRUE,TRUE
"18434","14C",43,4,"PW",445,479,27,TRUE,TRUE
"18435","14C",43,7,"PW",441,479,28,TRUE,TRUE
"18436","14C",43,10,"PW",377,479,25,TRUE,TRUE
"18437","14C",43,12,"PW",239,479,14,TRUE,TRUE
"18438","14C",43,14,"PW",234,479,10,TRUE,TRUE
"18439","14C",43,1,"PW",906,485,39,TRUE,TRUE
"18440","14C",43,4,"PW",486,485,27,TRUE,TRUE
"18441","14C",43,7,"PW",472,485,28,TRUE,TRUE
"18442","14C",43,10,"PW",411,485,25,TRUE,TRUE
"18443","14C",43,12,"PW",286,485,14,TRUE,TRUE
"18444","14C",43,14,"PW",197,485,10,TRUE,TRUE
"18445","14C",43,1,"PW",658,492,39,TRUE,TRUE
"18446","14C",43,4,"PW",610,492,27,TRUE,TRUE
"18447","14C",43,7,"PW",478,492,28,TRUE,TRUE
"18448","14C",43,10,"PW",346,492,25,TRUE,TRUE
"18449","14C",43,12,"PW",167,492,14,TRUE,TRUE
"18450","14C",43,14,"PW",140,492,10,TRUE,TRUE
"18451","14C",43,1,"PW",690,493,39,TRUE,TRUE
"18452","14C",43,4,"PW",610,493,27,TRUE,TRUE
"18453","14C",43,7,"PW",397,493,28,TRUE,TRUE
"18454","14C",43,10,"PW",334,493,25,TRUE,TRUE
"18455","14C",43,12,"PW",215,493,14,TRUE,TRUE
"18456","14C",43,14,"PW",114,493,10,TRUE,TRUE
"18457","14C",43,1,"PW",642,494,39,TRUE,TRUE
"18458","14C",43,4,"PW",562,494,27,TRUE,TRUE
"18459","14C",43,7,"PW",512,494,28,TRUE,TRUE
"18460","14C",43,10,"PW",362,494,25,TRUE,TRUE
"18461","14C",43,12,"PW",274,494,14,TRUE,TRUE
"18462","14C",43,14,"PW",180,494,10,TRUE,TRUE
"18463","14C",43,1,"PW",527,495,39,TRUE,TRUE
"18464","14C",43,4,"PW",497,495,27,TRUE,TRUE
"18465","14C",43,7,"PW",420,495,28,TRUE,TRUE
"18466","14C",43,10,"PW",391,495,25,TRUE,TRUE
"18467","14C",43,12,"PW",216,495,14,TRUE,TRUE
"18468","14C",43,14,"PW",169,495,10,TRUE,TRUE
"18469","14C",43,1,"PW",545,506,39,TRUE,TRUE
"18470","14C",43,4,"PW",437,506,27,TRUE,TRUE
"18471","14C",43,7,"PW",430,506,28,TRUE,TRUE
"18472","14C",43,10,"PW",312,506,25,TRUE,TRUE
"18473","14C",43,12,"PW",283,506,14,TRUE,TRUE
"18474","14C",43,14,"PW",153,506,10,TRUE,TRUE
"18475","14C",43,1,"PW",664,509,39,TRUE,TRUE
"18476","14C",43,4,"PW",567,509,27,TRUE,TRUE
"18477","14C",43,7,"PW",437,509,28,TRUE,TRUE
"18478","14C",43,10,"PW",400,509,25,TRUE,TRUE
"18479","14C",43,12,"PW",188,509,14,TRUE,TRUE
"18480","14C",43,14,"PW",180,509,10,TRUE,TRUE
"18481","14C",43,1,"PW",702,536,39,TRUE,TRUE
"18482","14C",43,4,"PW",579,536,27,TRUE,TRUE
"18483","14C",43,7,"PW",459,536,28,TRUE,TRUE
"18484","14C",43,10,"PW",430,536,25,TRUE,TRUE
"18485","14C",43,12,"PW",254,536,14,TRUE,TRUE
"18486","14C",43,14,"PW",245,536,10,TRUE,TRUE
"18487","14C",43,1,"PW",801,541,39,TRUE,TRUE
"18488","14C",43,4,"PW",629,541,27,TRUE,TRUE
"18489","14C",43,7,"PW",464,541,28,TRUE,TRUE
"18490","14C",43,10,"PW",449,541,25,TRUE,TRUE
"18491","14C",43,12,"PW",229,541,14,TRUE,TRUE
"18492","14C",43,14,"PW",120,541,10,TRUE,TRUE
"18493","14C",43,1,"PW",788,557,39,TRUE,TRUE
"18494","14C",43,4,"PW",597,557,27,TRUE,TRUE
"18495","14C",43,7,"PW",578,557,28,TRUE,TRUE
"18496","14C",43,10,"PW",379,557,25,TRUE,TRUE
"18497","14C",43,12,"PW",278,557,14,TRUE,TRUE
"18498","14C",43,14,"PW",174,557,10,TRUE,TRUE
"18499","14C",43,1,"PW",657,560,39,TRUE,TRUE
"18500","14C",43,4,"PW",525,560,27,TRUE,TRUE
"18501","14C",43,7,"PW",418,560,28,TRUE,TRUE
"18502","14C",43,10,"PW",408,560,25,TRUE,TRUE
"18503","14C",43,12,"PW",368,560,14,TRUE,TRUE
"18504","14C",43,14,"PW",175,560,10,TRUE,TRUE
"18505","14C",43,1,"PW",611,565,39,TRUE,TRUE
"18506","14C",43,4,"PW",453,565,27,TRUE,TRUE
"18507","14C",43,7,"PW",414,565,28,TRUE,TRUE
"18508","14C",43,10,"PW",304,565,25,TRUE,TRUE
"18509","14C",43,12,"PW",222,565,14,TRUE,TRUE
"18510","14C",43,14,"PW",217,565,10,TRUE,TRUE
"18511","14C",43,1,"PW",717,571,39,TRUE,TRUE
"18512","14C",43,4,"PW",500,571,27,TRUE,TRUE
"18513","14C",43,7,"PW",416,571,28,TRUE,TRUE
"18514","14C",43,10,"PW",324,571,25,TRUE,TRUE
"18515","14C",43,12,"PW",175,571,14,TRUE,TRUE
"18516","14C",43,14,"PW",124,571,10,TRUE,TRUE
"18517","14C",43,1,"PW",577,576,39,TRUE,TRUE
"18518","14C",43,4,"PW",535,576,27,TRUE,TRUE
"18519","14C",43,7,"PW",452,576,28,TRUE,TRUE
"18520","14C",43,10,"PW",419,576,25,TRUE,TRUE
"18521","14C",43,12,"PW",279,576,14,TRUE,TRUE
"18522","14C",43,14,"PW",132,576,10,TRUE,TRUE
"18523","14C",43,1,"PW",802,581,39,TRUE,TRUE
"18524","14C",43,4,"PW",450,581,27,TRUE,TRUE
"18525","14C",43,7,"PW",392,581,28,TRUE,TRUE
"18526","14C",43,10,"PW",299,581,25,TRUE,TRUE
"18527","14C",43,12,"PW",231,581,14,TRUE,TRUE
"18528","14C",43,14,"PW",228,581,10,TRUE,TRUE
"18529","14C",43,1,"PW",576,591,39,TRUE,TRUE
"18530","14C",43,4,"PW",481,591,27,TRUE,TRUE
"18531","14C",43,7,"PW",401,591,28,TRUE,TRUE
"18532","14C",43,10,"PW",308,591,25,TRUE,TRUE
"18533","14C",43,12,"PW",284,591,14,TRUE,TRUE
"18534","14C",43,14,"PW",151,591,10,TRUE,TRUE
"18535","14C",43,1,"PW",810,592,39,TRUE,TRUE
"18536","14C",43,4,"PW",571,592,27,TRUE,TRUE
"18537","14C",43,7,"PW",417,592,28,TRUE,TRUE
"18538","14C",43,10,"PW",296,592,25,TRUE,TRUE
"18539","14C",43,12,"PW",290,592,14,TRUE,TRUE
"18540","14C",43,14,"PW",179,592,10,TRUE,TRUE
"18541","14C",43,1,"PW",531,597,39,TRUE,TRUE
"18542","14C",43,4,"PW",526,597,27,TRUE,TRUE
"18543","14C",43,7,"PW",480,597,28,TRUE,TRUE
"18544","14C",43,10,"PW",344,597,25,TRUE,TRUE
"18545","14C",43,12,"PW",281,597,14,TRUE,TRUE
"18546","14C",43,14,"PW",192,597,10,TRUE,TRUE
"18547","14C",43,1,"PW",722,600,39,TRUE,TRUE
"18548","14C",43,4,"PW",552,600,27,TRUE,TRUE
"18549","14C",43,7,"PW",543,600,28,TRUE,TRUE
"18550","14C",43,10,"PW",529,600,25,TRUE,TRUE
"18551","14C",43,12,"PW",170,600,14,TRUE,TRUE
"18552","14C",43,14,"PW",117,600,10,TRUE,TRUE
"18553","14C",43,1,"PW",702,602,39,TRUE,TRUE
"18554","14C",43,4,"PW",439,602,27,TRUE,TRUE
"18555","14C",43,7,"PW",374,602,28,TRUE,TRUE
"18556","14C",43,10,"PW",302,602,25,TRUE,TRUE
"18557","14C",43,12,"PW",224,602,14,TRUE,TRUE
"18558","14C",43,14,"PW",191,602,10,TRUE,TRUE
"18559","14C",43,1,"PW",599,608,39,TRUE,TRUE
"18560","14C",43,4,"PW",544,608,27,TRUE,TRUE
"18561","14C",43,7,"PW",476,608,28,TRUE,TRUE
"18562","14C",43,10,"PW",466,608,25,TRUE,TRUE
"18563","14C",43,12,"PW",250,608,14,TRUE,TRUE
"18564","14C",43,14,"PW",178,608,10,TRUE,TRUE
"18565","14C",43,1,"PW",678,611,39,TRUE,TRUE
"18566","14C",43,4,"PW",395,611,27,TRUE,TRUE
"18567","14C",43,7,"PW",323,611,28,TRUE,TRUE
"18568","14C",43,10,"PW",301,611,25,TRUE,TRUE
"18569","14C",43,12,"PW",197,611,14,TRUE,TRUE
"18570","14C",43,14,"PW",182,611,10,TRUE,TRUE
"18571","14C",43,1,"PW",628,646,39,TRUE,TRUE
"18572","14C",43,4,"PW",457,646,27,TRUE,TRUE
"18573","14C",43,7,"PW",429,646,28,TRUE,TRUE
"18574","14C",43,10,"PW",413,646,25,TRUE,TRUE
"18575","14C",43,12,"PW",324,646,14,TRUE,TRUE
"18576","14C",43,14,"PW",199,646,10,TRUE,TRUE
"18577","14C",43,1,"PW",560,660,39,TRUE,TRUE
"18578","14C",43,4,"PW",504,660,27,TRUE,TRUE
"18579","14C",43,7,"PW",459,660,28,TRUE,TRUE
"18580","14C",43,10,"PW",450,660,25,TRUE,TRUE
"18581","14C",43,12,"PW",299,660,14,TRUE,TRUE
"18582","14C",43,14,"PW",195,660,10,TRUE,TRUE
"18583","14C",43,1,"PW",624,668,39,TRUE,TRUE
"18584","14C",43,4,"PW",595,668,27,TRUE,TRUE
"18585","14C",43,7,"PW",442,668,28,TRUE,TRUE
"18586","14C",43,10,"PW",353,668,25,TRUE,TRUE
"18587","14C",43,12,"PW",279,668,14,TRUE,TRUE
"18588","14C",43,14,"PW",161,668,10,TRUE,TRUE
"18589","14C",43,1,"PW",766,672,39,TRUE,TRUE
"18590","14C",43,4,"PW",559,672,27,TRUE,TRUE
"18591","14C",43,7,"PW",451,672,28,TRUE,TRUE
"18592","14C",43,10,"PW",390,672,25,TRUE,TRUE
"18593","14C",43,12,"PW",189,672,14,TRUE,TRUE
"18594","14C",43,14,"PW",103,672,10,TRUE,TRUE
"18595","14C",43,1,"PW",635,674,39,TRUE,TRUE
"18596","14C",43,4,"PW",618,674,27,TRUE,TRUE
"18597","14C",43,7,"PW",547,674,28,TRUE,TRUE
"18598","14C",43,10,"PW",405,674,25,TRUE,TRUE
"18599","14C",43,12,"PW",330,674,14,TRUE,TRUE
"18600","14C",43,14,"PW",130,674,10,TRUE,TRUE
"18601","14C",43,1,"PW",649,675,39,TRUE,TRUE
"18602","14C",43,4,"PW",477,675,27,TRUE,TRUE
"18603","14C",43,7,"PW",477,675,28,TRUE,TRUE
"18604","14C",43,10,"PW",331,675,25,TRUE,TRUE
"18605","14C",43,12,"PW",325,675,14,TRUE,TRUE
"18606","14C",43,14,"PW",219,675,10,TRUE,TRUE
"18607","14C",43,1,"PW",870,677,39,TRUE,TRUE
"18608","14C",43,4,"PW",539,677,27,TRUE,TRUE
"18609","14C",43,7,"PW",449,677,28,TRUE,TRUE
"18610","14C",43,10,"PW",418,677,25,TRUE,TRUE
"18611","14C",43,12,"PW",308,677,14,TRUE,TRUE
"18612","14C",43,14,"PW",101,677,10,TRUE,TRUE
"18613","14C",43,1,"PW",712,695,39,TRUE,TRUE
"18614","14C",43,4,"PW",530,695,27,TRUE,TRUE
"18615","14C",43,7,"PW",484,695,28,TRUE,TRUE
"18616","14C",43,10,"PW",338,695,25,TRUE,TRUE
"18617","14C",43,12,"PW",301,695,14,TRUE,TRUE
"18618","14C",43,14,"PW",118,695,10,TRUE,TRUE
"18619","14C",43,1,"PW",524,696,39,TRUE,TRUE
"18620","14C",43,4,"PW",453,696,27,TRUE,TRUE
"18621","14C",43,7,"PW",444,696,28,TRUE,TRUE
"18622","14C",43,10,"PW",366,696,25,TRUE,TRUE
"18623","14C",43,12,"PW",221,696,14,TRUE,TRUE
"18624","14C",43,14,"PW",210,696,10,TRUE,TRUE
"18625","14C",43,1,"PW",690,700,39,TRUE,TRUE
"18626","14C",43,4,"PW",589,700,27,TRUE,TRUE
"18627","14C",43,7,"PW",452,700,28,TRUE,TRUE
"18628","14C",43,10,"PW",409,700,25,TRUE,TRUE
"18629","14C",43,12,"PW",286,700,14,TRUE,TRUE
"18630","14C",43,14,"PW",134,700,10,TRUE,TRUE
"18631","14C",43,1,"PW",642,709,39,TRUE,TRUE
"18632","14C",43,4,"PW",536,709,27,TRUE,TRUE
"18633","14C",43,7,"PW",499,709,28,TRUE,TRUE
"18634","14C",43,10,"PW",431,709,25,TRUE,TRUE
"18635","14C",43,12,"PW",289,709,14,TRUE,TRUE
"18636","14C",43,14,"PW",67,709,10,TRUE,TRUE
"18637","14C",43,1,"PW",653,719,39,TRUE,TRUE
"18638","14C",43,4,"PW",530,719,27,TRUE,TRUE
"18639","14C",43,7,"PW",457,719,28,TRUE,TRUE
"18640","14C",43,10,"PW",391,719,25,TRUE,TRUE
"18641","14C",43,12,"PW",340,719,14,TRUE,TRUE
"18642","14C",43,14,"PW",120,719,10,TRUE,TRUE
"18643","14C",43,1,"PW",569,724,39,TRUE,TRUE
"18644","14C",43,4,"PW",507,724,27,TRUE,TRUE
"18645","14C",43,7,"PW",487,724,28,TRUE,TRUE
"18646","14C",43,10,"PW",421,724,25,TRUE,TRUE
"18647","14C",43,12,"PW",332,724,14,TRUE,TRUE
"18648","14C",43,14,"PW",144,724,10,TRUE,TRUE
"18649","14C",43,1,"PW",625,745,39,TRUE,TRUE
"18650","14C",43,4,"PW",465,745,27,TRUE,TRUE
"18651","14C",43,7,"PW",376,745,28,TRUE,TRUE
"18652","14C",43,10,"PW",279,745,25,TRUE,TRUE
"18653","14C",43,12,"PW",272,745,14,TRUE,TRUE
"18654","14C",43,14,"PW",141,745,10,TRUE,TRUE
"18655","14C",43,1,"PW",670,749,39,TRUE,TRUE
"18656","14C",43,4,"PW",511,749,27,TRUE,TRUE
"18657","14C",43,7,"PW",459,749,28,TRUE,TRUE
"18658","14C",43,10,"PW",382,749,25,TRUE,TRUE
"18659","14C",43,12,"PW",237,749,14,TRUE,TRUE
"18660","14C",43,14,"PW",166,749,10,TRUE,TRUE
"18661","14C",43,1,"PW",532,754,39,TRUE,TRUE
"18662","14C",43,4,"PW",424,754,27,TRUE,TRUE
"18663","14C",43,7,"PW",403,754,28,TRUE,TRUE
"18664","14C",43,10,"PW",401,754,25,TRUE,TRUE
"18665","14C",43,12,"PW",236,754,14,TRUE,TRUE
"18666","14C",43,14,"PW",209,754,10,TRUE,TRUE
"18667","14C",43,1,"PW",582,774,39,TRUE,TRUE
"18668","14C",43,4,"PW",500,774,27,TRUE,TRUE
"18669","14C",43,7,"PW",498,774,28,TRUE,TRUE
"18670","14C",43,10,"PW",416,774,25,TRUE,TRUE
"18671","14C",43,12,"PW",290,774,14,TRUE,TRUE
"18672","14C",43,14,"PW",108,774,10,TRUE,TRUE
"18673","14C",43,1,"PW",835,776,39,TRUE,TRUE
"18674","14C",43,4,"PW",481,776,27,TRUE,TRUE
"18675","14C",43,7,"PW",475,776,28,TRUE,TRUE
"18676","14C",43,10,"PW",396,776,25,TRUE,TRUE
"18677","14C",43,12,"PW",308,776,14,TRUE,TRUE
"18678","14C",43,14,"PW",175,776,10,TRUE,TRUE
"18679","14C",43,1,"PW",752,782,39,TRUE,TRUE
"18680","14C",43,4,"PW",553,782,27,TRUE,TRUE
"18681","14C",43,7,"PW",548,782,28,TRUE,TRUE
"18682","14C",43,10,"PW",505,782,25,TRUE,TRUE
"18683","14C",43,12,"PW",230,782,14,TRUE,TRUE
"18684","14C",43,14,"PW",178,782,10,TRUE,TRUE
"18685","14C",43,1,"PW",692,786,39,TRUE,TRUE
"18686","14C",43,4,"PW",392,786,27,TRUE,TRUE
"18687","14C",43,7,"PW",347,786,28,TRUE,TRUE
"18688","14C",43,10,"PW",294,786,25,TRUE,TRUE
"18689","14C",43,12,"PW",209,786,14,TRUE,TRUE
"18690","14C",43,14,"PW",152,786,10,TRUE,TRUE
"18691","14C",43,1,"PW",666,794,39,TRUE,TRUE
"18692","14C",43,4,"PW",472,794,27,TRUE,TRUE
"18693","14C",43,7,"PW",426,794,28,TRUE,TRUE
"18694","14C",43,10,"PW",323,794,25,TRUE,TRUE
"18695","14C",43,12,"PW",259,794,14,TRUE,TRUE
"18696","14C",43,14,"PW",234,794,10,TRUE,TRUE
"18697","14C",43,1,"PW",545,799,39,TRUE,TRUE
"18698","14C",43,4,"PW",522,799,27,TRUE,TRUE
"18699","14C",43,7,"PW",462,799,28,TRUE,TRUE
